,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
sort-adp-7,28.379369271173783,25.986632999443184,28.379369271173783,25.986632999443184,21.072454619386455,23.72329509244308,25.024288052854,24.50218510344694,100.0,23.404255319148938,9000.0,23.404255319148938,448.44505471582625,18.69287592394693,65148.271236427325,4.944353556213179,5.0,5.291502622129181,450.0,476.2352359916263,22.42225273579131,27.75053792613025,3257.4135618213663,3229.713059337021
sort-adp-8,34.07793470279961,28.17988465980659,34.07793470279961,28.17988465980659,30.14519524176378,27.093978353622656,73.17440616033957,82.23223403953799,115.0,8.77659574468085,10350.0,8.77659574468085,626.6999622898315,27.230003422004447,205649.68131929546,46.040005927726305,5.75,5.087976021956078,517.5,457.91784197604704,31.334998114491576,31.228541509026943,10282.484065964773,12619.291236305957
sort-adp-9,33.7680873670097,27.72958448909396,33.7680873670097,27.72958448909396,23.999893178199507,25.03931608733276,41.1992910305257,54.38834508395853,118.0,19.680851063829788,10620.0,19.680851063829788,515.5150680943239,23.149948312935717,114105.91611860757,9.457990705405035,5.9,5.664803615307419,531.0,509.8323253776677,25.77575340471619,29.25133197475385,5705.295805930378,7453.043069117126
sort-adp-10,32.34083662569864,23.462021663004986,32.34083662569864,23.462021663004986,24.356494986076033,26.992996280617284,64.7877756543948,92.0372463414941,107.0,19.9468085106383,9630.0,19.9468085106383,510.7185187673887,21.337584914730854,166680.71206884843,23.904031838582057,5.35,4.362052269287933,481.5,392.58470423591393,25.535925938369434,32.43544888850344,8334.035603442422,11944.514871381041
sort-adp-11,26.67640214713373,26.51831019183846,26.67640214713373,26.51831019183846,24.10870281637374,27.286158208009876,62.65387521388469,102.4841089380882,88.0,17.02127659574468,7920.0,17.02127659574468,512.6192275557733,22.826435691055238,161448.2781074152,29.034403420496638,4.4,4.923413450036469,396.0,443.10721050328215,25.630961377788662,33.15467169921621,8072.4139053707595,12432.296829117522
idm-tracker-7,14.40038719187201,21.244811963194707,14.40038719187201,21.244811963194707,16.207375629854248,21.313918334217735,28.210211246887184,29.123822422328484,34.0,0.0,3060.0,0.0,287.1403854350632,11.053588531606552,74963.97409914015,15.58076666883362,1.7,1.3453624047073711,153.0,121.0826164236634,14.35701927175316,12.3733737053255,3748.1987049570075,3830.9185514711676
idm-tracker-8,23.881557441678304,30.896568752535728,23.881557441678304,30.896568752535728,23.228562163141778,23.364559546729513,63.44329874260459,80.66066165591918,68.0,13.829787234042554,6120.0,13.829787234042554,444.905989037512,19.747076455296288,184764.21349711734,56.23618408824182,3.4,4.465422712353221,306.0,401.8880441117899,22.2452994518756,17.9617964941101,9238.210674855867,12615.831480381608
idm-tracker-9,15.469199660513288,25.803708117942914,15.469199660513288,25.803708117942914,16.73031124280131,22.140837433467603,34.499446169983116,55.201047697142364,40.0,6.382978723404255,3600.0,6.382978723404255,311.605013887553,13.467090396077175,87411.55165319369,25.851579628982098,2.0,2.756809750418044,180.0,248.112877537624,15.58025069437765,14.993889428796038,4370.577582659685,6845.772629181691
idm-tracker-10,21.585385491842263,28.367639659379467,21.585385491842263,28.367639659379467,20.6535065324638,22.730091222590765,51.15228478892033,68.55234934899607,59.0,9.840425531914894,5310.0,9.840425531914894,394.61839733275343,17.107272870627007,140720.08808283557,40.496109277074524,2.95,3.734635189680513,265.5,336.1171670712462,19.73091986663767,17.107643379698604,7036.004404141779,9644.29259656217
idm-tracker-11,14.03348207632095,23.996322865708215,14.03348207632095,23.996322865708215,18.225667126382753,20.24010480874233,29.955099056528137,34.9354858071698,31.0,3.9893617021276597,2790.0,3.9893617021276597,343.1772050373453,14.369505697949384,75652.00507416294,21.170435404342133,1.55,2.2907422377910613,139.5,206.16680140119553,17.158860251867264,11.602550356755996,3782.6002537081467,4288.694844249912
